QualityID,DateKey,ProductKey,MachineKey,EmployeeKey,ShiftKey,PlantKey,InspectedQuantity,PassedQuantity,DefectiveQuantity,DefectRatePct,InspectionResult,DefectType,InspectionTimeHours,InspectorScore,ReworkQuantity,ScrapQuantity,FirstPassYieldPct,ReworkRatePct,ScrapRatePct,ReworkCost,ScrapCost,TotalQualityCost
1,20230101,2,6,86,1,1,359,355,4,1.23,Pass,Dead Pixel,2.18,90.68,1,3,98.89,25.0,75.0,8.68,324.0,332.68
2,20230101,5,1,156,3,1,248,240,8,3.21,Conditional Pass,Scratch,2.01,88.35,3,5,96.77,37.5,62.5,33.19,1240.0,1273.19
3,20230101,4,1,145,3,1,245,238,7,3.01,Conditional Pass,Packaging Damage,1.13,83.73,3,4,97.14,42.86,57.14,38.2,704.0,742.2
4,20230101,3,5,86,2,1,216,211,5,2.35,Conditional Pass,Loose Connection,1.26,94.62,3,2,97.69,60.0,40.0,18.23,264.0,282.23
5,20230101,1,3,86,2,1,229,224,5,2.35,Conditional Pass,Power Failure,2.01,92.88,2,3,97.82,40.0,60.0,34.97,246.0,280.97
6,20230101,1,1,102,2,1,314,308,6,1.88,Pass,Display Flicker,1.28,99.46,2,4,98.09,33.33,66.67,20.25,328.0,348.25
7,20230101,1,5,30,2,1,222,217,5,2.31,Conditional Pass,Packaging Damage,2.15,93.51,2,3,97.75,40.0,60.0,35.35,246.0,281.35
8,20230101,8,8,13,3,2,181,175,6,3.54,Conditional Pass,Power Failure,0.98,84.15,3,3,96.69,50.0,50.0,49.88,1095.0,1144.88
9,20230101,7,7,146,1,2,189,185,4,2.01,Conditional Pass,Display Flicker,1.74,90.53,1,3,97.88,25.0,75.0,8.73,564.0,572.73
10,20230101,8,8,107,2,2,218,213,5,2.13,Conditional Pass,Color Issue,2.41,95.79,3,2,97.71,60.0,40.0,31.68,730.0,761.68
11,20230101,6,11,95,1,2,244,239,5,1.98,Pass,Display Flicker,1.94,88.15,2,3,97.95,40.0,60.0,17.03,645.0,662.03
12,20230101,8,9,9,1,2,185,183,2,1.18,Pass,Alignment Error,1.92,100.0,0,2,98.92,0.0,100.0,0.0,730.0,730.0
13,20230101,8,8,117,1,2,192,189,3,1.68,Pass,Alignment Error,1.13,92.46,2,1,98.44,66.67,33.33,27.36,365.0,392.36
14,20230101,6,8,95,2,2,206,201,5,2.24,Conditional Pass,Scratch,1.94,91.5,3,2,97.57,60.0,40.0,26.25,430.0,456.25
15,20230101,6,10,143,3,2,162,158,4,2.5,Conditional Pass,Power Failure,2.03,99.61,1,3,97.53,25.0,75.0,16.96,645.0,661.96
16,20230101,9,13,160,1,3,89,88,1,1.32,Pass,Loose Connection,1.0,91.19,0,1,98.88,0.0,100.0,0.0,240.0,240.0
17,20230101,10,16,137,2,3,171,168,3,1.8,Pass,Packaging Damage,1.24,97.13,1,2,98.25,33.33,66.67,9.15,1020.0,1029.15
18,20230101,10,12,160,3,3,126,122,4,3.13,Conditional Pass,Color Issue,2.1,90.5,1,3,96.83,25.0,75.0,17.97,1530.0,1547.97
19,20230101,10,14,90,1,3,78,76,2,2.09,Conditional Pass,Packaging Damage,0.79,82.43,0,2,97.44,0.0,100.0,0.0,1020.0,1020.0
20,20230101,9,16,29,2,3,147,144,3,1.84,Pass,Display Flicker,1.69,95.29,1,2,97.96,33.33,66.67,11.62,480.0,491.62
21,20230101,14,19,49,1,4,136,134,2,1.81,Pass,Display Flicker,2.23,96.53,0,2,98.53,0.0,100.0,0.0,3760.0,3760.0
22,20230101,13,19,169,3,4,103,99,4,3.83,Conditional Pass,Scratch,1.86,83.08,1,3,96.12,25.0,75.0,7.9,4050.0,4057.9
23,20230101,13,17,99,1,4,76,75,1,1.64,Pass,Loose Connection,2.08,93.83,0,1,98.68,0.0,100.0,0.0,1350.0,1350.0
24,20230101,14,18,41,1,4,56,55,1,2.0,Conditional Pass,Alignment Error,1.37,84.94,0,1,98.21,0.0,100.0,0.0,1880.0,1880.0
25,20230101,14,20,68,3,4,75,73,2,3.04,Conditional Pass,Scratch,0.88,95.14,1,1,97.33,50.0,50.0,15.34,1880.0,1895.34
26,20230101,18,23,155,2,5,139,137,2,1.66,Pass,Display Flicker,1.68,97.42,0,2,98.56,0.0,100.0,0.0,8.0,8.0
27,20230101,16,21,67,2,5,112,109,3,2.44,Conditional Pass,Color Issue,1.08,83.09,1,2,97.32,33.33,66.67,6.95,1240.0,1246.95
28,20230101,17,21,19,1,5,127,125,2,1.33,Pass,Color Issue,1.98,97.35,1,1,98.43,50.0,50.0,7.51,48.0,55.51
29,20230101,17,22,47,2,5,121,118,3,2.23,Conditional Pass,Alignment Error,2.16,90.96,1,2,97.52,33.33,66.67,13.28,96.0,109.28
30,20230101,16,24,64,2,5,118,116,2,2.09,Conditional Pass,Packaging Damage,2.13,87.39,1,1,98.31,50.0,50.0,14.56,620.0,634.56
31,20230101,20,25,171,3,6,81,79,2,2.79,Conditional Pass,Dead Pixel,2.15,97.15,1,1,97.53,50.0,50.0,12.21,26.0,38.21
32,20230101,19,25,50,2,6,67,66,1,1.93,Pass,Alignment Error,1.01,86.05,0,1,98.51,0.0,100.0,0.0,18.0,18.0
33,20230101,19,28,50,2,6,76,74,2,2.26,Conditional Pass,Scratch,0.66,90.55,0,2,97.37,0.0,100.0,0.0,36.0,36.0
34,20230101,20,25,16,3,6,77,75,2,3.06,Conditional Pass,Alignment Error,1.94,82.6,0,2,97.4,0.0,100.0,0.0,52.0,52.0
35,20230101,21,32,101,1,7,50,49,1,1.17,Pass,Alignment Error,1.41,96.96,0,1,98.0,0.0,100.0,0.0,15.0,15.0
36,20230101,21,32,56,1,7,52,51,1,1.44,Pass,Packaging Damage,1.78,93.35,0,1,98.08,0.0,100.0,0.0,15.0,15.0
37,20230101,22,38,124,3,8,50,48,2,3.22,Conditional Pass,Dead Pixel,1.13,93.38,1,1,96.0,50.0,50.0,6.65,34.0,40.65
38,20230101,22,33,103,3,8,50,48,2,3.46,Conditional Pass,Alignment Error,0.69,87.2,1,1,96.0,50.0,50.0,7.31,34.0,41.31
39,20230101,22,34,32,3,8,50,48,2,3.32,Conditional Pass,Alignment Error,0.89,88.74,0,2,96.0,0.0,100.0,0.0,68.0,68.0
40,20230102,2,2,121,3,1,272,263,9,3.2,Conditional Pass,Dead Pixel,2.36,88.93,5,4,96.69,55.56,44.44,81.36,432.0,513.36
41,20230102,1,5,28,1,1,178,174,4,2.2,Conditional Pass,Alignment Error,0.93,87.69,2,2,97.75,50.0,50.0,35.26,164.0,199.26
42,20230102,3,2,177,2,1,267,262,5,2.04,Conditional Pass,Scratch,1.28,87.6,2,3,98.13,40.0,60.0,21.62,396.0,417.62
43,20230102,1,3,129,3,1,231,223,8,3.26,Conditional Pass,Color Issue,1.21,89.82,3,5,96.54,37.5,62.5,51.35,410.0,461.35
44,20230102,5,5,30,3,1,179,174,5,3.03,Conditional Pass,Color Issue,1.29,93.28,3,2,97.21,60.0,40.0,46.2,496.0,542.2
45,20230102,2,1,84,2,1,280,273,7,2.43,Conditional Pass,Scratch,1.29,89.08,4,3,97.5,57.14,42.86,51.8,324.0,375.8
46,20230102,3,5,198,2,1,200,196,4,2.12,Conditional Pass,Loose Connection,2.02,82.5,2,2,98.0,50.0,50.0,24.07,264.0,288.07
47,20230102,6,9,40,1,2,194,191,3,1.53,Pass,Dead Pixel,0.97,94.05,1,2,98.45,33.33,66.67,6.82,430.0,436.82
48,20230102,7,8,122,3,2,204,197,7,3.28,Conditional Pass,Alignment Error,1.92,95.65,2,5,96.57,28.57,71.43,33.37,940.0,973.37
49,20230102,7,7,15,2,2,204,199,5,2.47,Conditional Pass,Power Failure,1.78,87.98,1,4,97.55,20.0,80.0,13.89,752.0,765.89
50,20230102,6,9,60,1,2,213,209,4,1.65,Pass,Packaging Damage,2.33,98.23,2,2,98.12,50.0,50.0,17.73,430.0,447.73
51,20230102,8,7,53,1,2,246,242,4,1.55,Pass,Dead Pixel,1.19,100.0,2,2,98.37,50.0,50.0,34.3,730.0,764.3
52,20230102,8,8,5,2,2,212,208,4,2.04,Conditional Pass,Alignment Error,0.94,93.45,2,2,98.11,50.0,50.0,14.4,730.0,744.4
53,20230102,12,13,160,2,3,100,98,2,2.5,Conditional Pass,Alignment Error,1.46,88.63,0,2,98.0,0.0,100.0,0.0,1780.0,1780.0
54,20230102,12,16,166,2,3,126,123,3,2.43,Conditional Pass,Scratch,1.31,90.2,1,2,97.62,33.33,66.67,14.44,1780.0,1794.44
55,20230102,11,15,12,1,3,184,182,2,1.31,Pass,Loose Connection,1.87,96.48,1,1,98.91,50.0,50.0,7.24,148.0,155.24
56,20230102,12,13,62,3,3,114,110,4,3.21,Conditional Pass,Display Flicker,1.12,100.0,2,2,96.49,50.0,50.0,15.73,1780.0,1795.73
57,20230102,9,13,31,2,3,121,119,2,1.7,Pass,Display Flicker,1.65,94.82,0,2,98.35,0.0,100.0,0.0,480.0,480.0
58,20230102,13,17,196,1,4,56,55,1,1.98,Pass,Packaging Damage,1.37,87.36,0,1,98.21,0.0,100.0,0.0,1350.0,1350.0
59,20230102,13,19,194,2,4,121,119,2,2.01,Conditional Pass,Display Flicker,1.99,87.31,0,2,98.35,0.0,100.0,0.0,2700.0,2700.0
60,20230102,13,17,108,1,4,53,52,1,2.12,Conditional Pass,Dead Pixel,0.85,85.89,0,1,98.11,0.0,100.0,0.0,1350.0,1350.0
61,20230102,14,20,130,3,4,82,79,3,3.14,Conditional Pass,Power Failure,0.78,94.58,1,2,96.34,33.33,66.67,12.55,3760.0,3772.55
62,20230102,13,20,180,1,4,57,56,1,1.52,Pass,Scratch,1.49,85.24,0,1,98.25,0.0,100.0,0.0,1350.0,1350.0
63,20230102,18,22,128,3,5,105,102,3,3.02,Conditional Pass,Packaging Damage,2.06,84.27,1,2,97.14,33.33,66.67,7.23,8.0,15.23
64,20230102,16,21,91,3,5,111,107,4,3.26,Conditional Pass,Loose Connection,2.18,89.45,2,2,96.4,50.0,50.0,17.68,1240.0,1257.68
65,20230102,16,22,64,2,5,106,104,2,2.15,Conditional Pass,Power Failure,2.18,87.78,1,1,98.11,50.0,50.0,6.3,620.0,626.3
66,20230102,17,23,132,1,5,124,122,2,1.27,Pass,Alignment Error,1.92,93.38,1,1,98.39,50.0,50.0,14.82,48.0,62.82
67,20230102,16,23,172,3,5,136,132,4,2.59,Conditional Pass,Color Issue,1.17,100.0,1,3,97.06,25.0,75.0,16.47,1860.0,1876.47
68,20230102,18,22,34,3,5,95,91,4,3.75,Conditional Pass,Alignment Error,1.02,87.12,2,2,95.79,50.0,50.0,19.32,8.0,27.32
69,20230102,19,27,50,3,6,81,78,3,3.19,Conditional Pass,Dead Pixel,1.0,90.22,1,2,96.3,33.33,66.67,9.34,36.0,45.34
70,20230102,20,25,125,2,6,71,69,2,2.69,Conditional Pass,Power Failure,2.09,84.75,1,1,97.18,50.0,50.0,10.8,26.0,36.8
71,20230102,20,28,97,2,6,74,72,2,2.07,Conditional Pass,Display Flicker,2.06,93.41,1,1,97.3,50.0,50.0,8.14,26.0,34.14
72,20230102,21,30,38,2,7,65,64,1,1.87,Pass,Packaging Damage,0.69,97.48,0,1,98.46,0.0,100.0,0.0,15.0,15.0
73,20230102,21,29,93,1,7,50,49,1,1.41,Pass,Display Flicker,1.51,98.28,0,1,98.0,0.0,100.0,0.0,15.0,15.0
74,20230102,22,36,193,2,8,50,49,1,2.42,Conditional Pass,Alignment Error,0.67,88.65,0,1,98.0,0.0,100.0,0.0,34.0,34.0
75,20230102,22,36,58,3,8,50,48,2,3.84,Conditional Pass,Power Failure,1.15,81.19,1,1,96.0,50.0,50.0,9.96,34.0,43.96
76,20230102,22,35,136,3,8,50,49,1,2.77,Conditional Pass,Packaging Damage,1.6,94.87,0,1,98.0,0.0,100.0,0.0,34.0,34.0
77,20230103,4,3,100,1,1,217,213,4,1.83,Pass,Packaging Damage,1.42,88.38,2,2,98.16,50.0,50.0,16.6,352.0,368.6
78,20230103,1,6,54,2,1,367,359,8,2.1,Conditional Pass,Scratch,2.25,96.12,4,4,97.82,50.0,50.0,38.45,328.0,366.45
79,20230103,2,4,22,2,1,231,226,5,2.03,Conditional Pass,Power Failure,1.42,94.77,3,2,97.84,60.0,40.0,39.84,216.0,255.84
80,20230103,1,1,195,3,1,285,276,9,3.1,Conditional Pass,Loose Connection,1.77,91.5,3,6,96.84,33.33,66.67,35.03,492.0,527.03
81,20230103,5,4,145,2,1,233,228,5,2.31,Conditional Pass,Dead Pixel,1.95,84.09,2,3,97.85,40.0,60.0,26.86,744.0,770.86
82,20230103,3,2,86,2,1,305,299,6,1.96,Pass,Alignment Error,2.34,95.76,3,3,98.03,50.0,50.0,26.09,396.0,422.09
83,20230103,2,6,70,2,1,391,384,7,1.82,Pass,Dead Pixel,1.5,90.12,4,3,98.21,57.14,42.86,53.34,324.0,377.34
84,20230103,1,5,156,2,1,185,180,5,2.77,Conditional Pass,Packaging Damage,1.55,88.3,2,3,97.3,40.0,60.0,29.24,246.0,275.24
85,20230103,2,2,22,2,1,286,281,5,1.58,Pass,Dead Pixel,1.81,95.01,2,3,98.25,40.0,60.0,12.13,324.0,336.13
86,20230103,6,10,106,2,2,154,151,3,2.07,Conditional Pass,Color Issue,1.98,83.63,1,2,98.05,33.33,66.67,14.35,430.0,444.35
87,20230103,8,8,13,2,2,177,172,5,2.64,Conditional Pass,Color Issue,0.93,83.84,3,2,97.18,60.0,40.0,34.43,730.0,764.43
88,20230103,7,8,3,1,2,194,190,4,1.96,Pass,Color Issue,1.89,89.02,2,2,97.94,50.0,50.0,34.8,376.0,410.8
89,20230103,8,8,178,3,2,212,204,8,3.55,Conditional Pass,Color Issue,1.84,92.73,4,4,96.23,50.0,50.0,63.87,1460.0,1523.87
90,20230103,7,7,60,3,2,286,279,7,2.48,Conditional Pass,Alignment Error,2.42,100.0,3,4,97.55,42.86,57.14,27.33,752.0,779.33
91,20230103,6,10,147,3,2,190,185,5,2.72,Conditional Pass,Alignment Error,2.14,95.24,3,2,97.37,60.0,40.0,35.45,430.0,465.45
92,20230103,8,8,25,3,2,226,220,6,2.78,Conditional Pass,Power Failure,1.36,93.14,2,4,97.35,33.33,66.67,18.52,1460.0,1478.52
93,20230103,8,11,5,1,2,238,234,4,1.81,Pass,Loose Connection,2.32,89.66,1,3,98.32,25.0,75.0,10.6,1095.0,1105.6
94,20230103,7,9,1,3,2,212,206,6,2.63,Conditional Pass,Packaging Damage,1.98,95.85,2,4,97.17,33.33,66.67,25.02,752.0,777.02
95,20230103,12,15,166,3,3,175,169,6,3.32,Conditional Pass,Scratch,0.94,94.93,2,4,96.57,33.33,66.67,30.48,3560.0,3590.48
96,20230103,10,16,149,2,3,144,141,3,2.22,Conditional Pass,Power Failure,2.07,87.46,1,2,97.92,33.33,66.67,6.07,1020.0,1026.07
97,20230103,10,14,31,2,3,89,87,2,1.7,Pass,Alignment Error,1.13,92.53,1,1,97.75,50.0,50.0,16.03,510.0,526.03
98,20230103,10,16,153,2,3,174,171,3,1.94,Pass,Packaging Damage,1.58,99.41,1,2,98.28,33.33,66.67,10.67,1020.0,1030.67
99,20230103,9,15,31,1,3,182,179,3,1.92,Pass,Scratch,1.95,95.68,2,1,98.35,66.67,33.33,35.54,240.0,275.54
100,20230103,9,14,149,3,3,67,65,2,3.63,Conditional Pass,Packaging Damage,1.99,86.24,1,1,97.01,50.0,50.0,7.01,240.0,247.01
101,20230103,9,15,149,2,3,172,168,4,2.54,Conditional Pass,Alignment Error,1.05,85.33,1,3,97.67,25.0,75.0,10.55,720.0,730.55
102,20230103,14,17,114,1,4,72,71,1,1.62,Pass,Packaging Damage,1.33,99.86,0,1,98.61,0.0,100.0,0.0,1880.0,1880.0
103,20230103,13,20,176,2,4,80,78,2,1.97,Pass,Power Failure,1.04,98.07,0,2,97.5,0.0,100.0,0.0,2700.0,2700.0
104,20230103,14,20,108,2,4,60,58,2,2.55,Conditional Pass,Scratch,0.96,83.28,1,1,96.67,50.0,50.0,6.48,1880.0,1886.48
105,20230103,15,18,68,1,4,59,58,1,1.6,Pass,Loose Connection,2.04,91.2,0,1,98.31,0.0,100.0,0.0,2450.0,2450.0
106,20230103,13,19,37,3,4,125,121,4,3.4,Conditional Pass,Display Flicker,1.46,90.6,2,2,96.8,50.0,50.0,23.16,2700.0,2723.16
107,20230103,14,18,108,1,4,52,51,1,1.79,Pass,Dead Pixel,1.75,83.97,0,1,98.08,0.0,100.0,0.0,1880.0,1880.0
108,20230103,15,20,37,1,4,78,77,1,1.81,Pass,Display Flicker,1.82,90.95,0,1,98.72,0.0,100.0,0.0,2450.0,2450.0
109,20230103,16,21,83,1,5,115,113,2,1.97,Pass,Alignment Error,1.59,91.96,0,2,98.26,0.0,100.0,0.0,1240.0,1240.0
