MaintenanceID,DateKey,MachineKey,EmployeeKey,PlantKey,MaintenanceType,MaintenanceStatus,Priority,DowntimeMinutes,MaintenanceDurationHours,LaborHours,SparePartsCost,LaborCost,TotalMaintenanceCost,MTTRHours,MTBFDays,MachineAvailabilityPct,MaintenanceEfficiencyPct,TechnicianRating,RepeatFailure
1,20230101.0,6.0,86.0,1.0,Emergency,Completed,Low,11.0,2.28,1.85,350.26,99.77,450.03,2.28,28.32,98.9,96.31,94.25,Yes
2,20230101.0,1.0,156.0,1.0,Predictive,Completed,Medium,18.0,1.03,0.92,947.89,62.05,1009.94,1.03,15.09,98.2,95.75,83.74,No
3,20230101.0,1.0,145.0,1.0,Predictive,Completed,Critical,39.0,2.9,2.71,530.37,225.71,756.08,2.9,8.54,96.1,90.78,81.48,No
4,20230101.0,5.0,86.0,1.0,Preventive,Completed,Medium,56.0,2.77,3.29,470.23,220.7,690.93,2.77,26.8,94.4,91.66,94.03,No
5,20230101.0,3.0,86.0,1.0,Predictive,In Progress,Medium,26.0,2.87,3.43,969.32,273.23,1242.55,2.87,11.36,97.4,93.76,93.84,No
6,20230101.0,1.0,102.0,1.0,Emergency,In Progress,Medium,56.0,3.11,3.36,1024.12,160.8,1184.92,3.11,13.7,94.4,91.26,95.11,No
7,20230101.0,5.0,30.0,1.0,Predictive,Completed,Critical,40.0,2.88,3.27,706.72,177.11,883.83,2.88,5.16,96.0,91.75,88.07,No
8,20230101.0,8.0,13.0,2.0,Emergency,In Progress,Medium,23.0,1.87,2.18,666.02,121.2,787.22,1.87,8.54,97.7,94.58,82.64,No
9,20230101.0,7.0,146.0,2.0,Preventive,In Progress,Critical,28.0,3.46,2.96,769.49,222.68,992.17,3.46,19.36,97.2,92.11,84.92,No
10,20230101.0,8.0,107.0,2.0,Predictive,Completed,High,9.0,2.14,2.11,507.33,141.64,648.97,2.14,23.23,99.1,96.52,88.2,No
11,20230101.0,11.0,95.0,2.0,Predictive,Scheduled,Medium,45.0,2.34,2.3,696.45,184.08,880.53,2.34,13.34,95.5,92.16,85.05,Yes
12,20230101.0,9.0,9.0,2.0,Preventive,In Progress,High,25.0,1.3,1.44,646.78,109.65,756.43,1.3,16.35,97.5,91.65,96.27,Yes
13,20230101.0,8.0,117.0,2.0,Corrective,Scheduled,Critical,46.0,1.87,1.68,749.03,80.89,829.92,1.87,18.78,95.4,93.57,94.25,No
14,20230101.0,8.0,95.0,2.0,Predictive,In Progress,High,52.0,3.73,3.23,718.67,223.72,942.39,3.73,23.69,94.8,93.52,89.09,No
15,20230101.0,10.0,143.0,2.0,Preventive,Completed,Low,37.0,2.21,2.23,317.0,120.39,437.39,2.21,13.46,96.3,93.35,95.01,No
16,20230101.0,13.0,160.0,3.0,Emergency,Completed,Critical,43.0,1.79,2.08,864.55,99.5,964.05,1.79,9.4,95.7,93.16,87.1,No
17,20230101.0,16.0,137.0,3.0,Preventive,In Progress,High,60.0,3.52,3.08,389.15,191.71,580.86,3.52,12.28,94.0,90.56,97.3,Yes
18,20230101.0,12.0,160.0,3.0,Emergency,Scheduled,Low,54.0,3.4,2.87,564.14,190.72,754.86,3.4,5.15,94.6,89.79,88.84,Yes
19,20230101.0,14.0,90.0,3.0,Emergency,Completed,Critical,51.0,1.48,1.78,742.44,149.09,891.53,1.48,29.43,94.9,93.23,81.96,No
20,20230101.0,16.0,29.0,3.0,Corrective,Completed,High,45.0,3.51,3.04,316.65,184.28,500.93,3.51,22.89,95.5,93.52,91.8,No
21,20230101.0,19.0,49.0,4.0,Preventive,Scheduled,Low,38.0,1.68,1.38,487.69,65.46,553.15,1.68,17.92,96.2,90.67,91.34,No
22,20230101.0,19.0,169.0,4.0,Preventive,In Progress,High,58.0,3.6,2.98,203.88,236.83,440.71,3.6,21.34,94.2,92.98,83.59,Yes
23,20230101.0,17.0,99.0,4.0,Preventive,Completed,Critical,10.0,3.0,2.65,767.01,144.55,911.56,3.0,13.15,99.0,96.38,87.7,No
24,20230101.0,18.0,41.0,4.0,Corrective,In Progress,High,15.0,2.3,2.36,260.99,156.95,417.94,2.3,21.02,98.5,93.24,85.04,Yes
