ProcurementID,PONumber,DateKey,SupplierKey,ProductKey,PlantKey,OrderedQuantity,ReceivedQuantity,QuantityVariance,UnitCost,PurchaseAmount,FreightCost,TaxAmount,TotalProcurementCost,LeadTimeDays,DeliveryDelayDays,FillRatePct,QualityAcceptancePct,SupplierRating,SupplierPerformanceScore,OrderStatus,PaymentStatus
1,PO-2023-000001,20230101,1,1,1,22098,21116,982,82,1731512,73150.35,138520.96,1943183.31,18,1,95.56,96.98,4.9,95.99,Partial,Paid
2,PO-2023-000002,20230101,1,2,1,6829,6718,111,108,725544,33930.35,58043.52,817517.87,18,0,98.38,96.35,4.9,97.97,Partial,Pending
3,PO-2023-000003,20230101,2,3,1,3210,3054,156,132,403128,10706.73,32250.24,446084.97,21,2,95.15,98.02,4.7,95.01,Partial,Paid
4,PO-2023-000004,20230101,2,4,1,6322,6068,254,176,1067968,42181.03,85437.44,1195586.47,21,4,95.99,98.18,4.7,92.87,Partial,Paid
5,PO-2023-000005,20230101,3,5,2,5863,5742,121,248,1424016,63059.58,113921.28,1600996.86,20,0,97.95,96.03,4.6,97.69,Partial,Paid
6,PO-2023-000006,20230101,3,6,2,17470,16893,577,215,3631995,89580.92,290559.6,4012135.52,20,0,96.7,99.83,4.6,98.78,Partial,Pending
7,PO-2023-000007,20230101,4,7,2,3328,3177,151,188,597276,13678.51,47782.08,658736.59,14,4,95.46,99.39,4.9,93.17,Partial,Pending
8,PO-2023-000008,20230101,4,8,2,12693,12521,172,365,4570165,164922.83,365613.2,5100701.03,14,2,98.65,99.89,4.9,96.98,Partial,Pending
9,PO-2023-000009,20230101,5,9,3,4745,4638,107,240,1113120,49959.21,89049.6,1252128.81,16,0,97.76,98.47,4.8,98.61,Partial,Pending
10,PO-2023-000010,20230101,5,10,3,10795,10359,436,510,5283090,116685.78,422647.2,5822422.98,16,2,95.96,98.65,4.8,95.54,Partial,Pending
11,PO-2023-000011,20230101,7,13,4,3406,3381,25,1350,4564350,209935.04,365148.0,5139433.04,18,0,99.28,97.52,4.8,98.76,Partial,Pending
12,PO-2023-000012,20230101,8,14,4,6439,6385,54,1880,12003800,298650.02,960304.0,13262754.02,22,0,99.17,97.42,4.6,98.68,Partial,Pending
13,PO-2023-000013,20230101,10,16,5,6860,6838,22,620,4239560,167212.75,339164.8,4745937.55,24,1,99.68,98.44,4.8,98.01,Partial,Paid
14,PO-2023-000014,20230101,11,17,5,6105,5849,256,48,280752,8811.03,22460.16,312023.19,15,0,95.82,99.96,4.7,98.52,Partial,Paid
15,PO-2023-000015,20230101,12,18,5,3406,3379,27,4,13516,584.97,1081.28,15182.25,18,0,99.21,96.92,4.8,98.49,Partial,Paid
16,PO-2023-000016,20230101,13,19,6,3654,3544,110,18,63792,1402.51,5103.36,70297.87,17,0,97.01,99.65,4.9,98.81,Partial,Pending
17,PO-2023-000017,20230101,14,20,6,3250,3194,56,26,83044,2646.53,6643.52,92334.05,21,0,98.28,99.66,4.5,99.26,Partial,Pending
