ProductionID,DateKey,PlantKey,MachineKey,EmployeeKey,ProductKey,ShiftKey,ProductionHours,MachineUtilizationPct,DowntimeMinutes,QuantityProduced,GoodQuantity,RejectedQuantity,DefectRatePct,OEE,UnitCost,UnitPrice,GrossRevenue,ProductionCost,DowntimeCost,LaborCost,ScrapCost,TotalCost,Profit,ProfitMarginPct,CostPerGoodUnit
1,20230101,1,6,86,2,1,6.87,84.23,11,359,355,4,1.23,81.07,108,199,70645,38772,102.87,170.7,432,39477.57,31167.43,44.12,111.2
2,20230101,1,1,156,5,3,7.13,74.23,18,248,240,8,3.21,68.81,248,449,107760,61504,193.34,238.69,1984,63920.03,43839.97,40.68,266.33
3,20230101,1,1,145,4,3,6.8,83.16,39,245,238,7,3.01,73.06,176,329,78302,43120,402.17,357.17,1232,45111.33,33190.67,42.39,189.54
4,20230101,1,5,86,3,2,7.71,78.82,56,216,211,5,2.35,67.67,132,249,52539,28512,679.85,191.57,660,30043.42,22495.58,42.82,142.39
5,20230101,1,3,86,1,2,6.73,93.42,26,229,224,5,2.35,85.5,82,149,33376,18778,266.42,167.22,410,19621.64,13754.36,41.21,87.6
6,20230101,1,1,102,1,2,7.77,87.99,56,314,308,6,1.88,75.94,82,149,45892,25748,743.44,172.14,492,27155.59,18736.41,40.83,88.17
7,20230101,1,5,30,1,2,7.96,84.53,40,222,217,5,2.31,75.71,82,149,32333,18204,342.16,212.29,410,19168.45,13164.55,40.72,88.33
8,20230101,2,8,13,8,3,6.57,77.08,23,181,175,6,3.54,70.18,365,699,122325,66065,184.81,353.21,2190,68793.02,53531.98,43.76,393.1
9,20230101,2,7,146,7,1,6.92,92.17,28,189,185,4,2.01,84.14,188,349,64565,35532,355.71,306.68,752,36946.39,27618.61,42.78,199.71
10,20230101,2,8,107,8,2,7.55,89.22,9,218,213,5,2.13,85.44,365,699,148887,79570,118.35,176.93,1825,81690.28,67196.72,45.13,383.52
11,20230101,2,11,95,6,1,6.75,88.07,45,244,239,5,1.98,76.68,215,399,95361,52460,503.6,329.25,1075,54367.86,40993.14,42.99,227.48
12,20230101,2,9,9,8,1,6.84,82.51,25,185,183,2,1.18,76.65,365,699,127917,67525,243.29,203.99,730,68702.29,59214.71,46.29,375.42
13,20230101,2,8,117,8,1,6.82,89.99,46,192,189,3,1.68,78.63,365,699,132111,70080,503.59,324.95,1095,72003.53,60107.47,45.5,380.97
14,20230101,2,8,95,6,2,7.62,87,52,206,201,5,2.24,75.23,215,399,80199,44290,516.1,371.69,1075,46252.79,33946.21,42.33,230.11
15,20230101,2,10,143,6,3,6.83,88.16,37,162,158,4,2.5,78.22,215,399,63042,34830,455.13,323.24,860,36468.38,26573.62,42.15,230.81
16,20230101,3,13,160,9,1,6.74,92.89,43,89,88,1,1.32,82.08,240,449,39512,21360,565.81,203.77,240,22369.58,17142.42,43.39,254.2
17,20230101,3,16,137,10,2,7.29,93.64,60,171,168,3,1.8,79.38,510,899,151032,87210,629.57,178.29,1530,89547.86,61484.14,40.71,533.02
18,20230101,3,12,160,10,3,7.83,84.61,54,126,122,4,3.13,72.51,510,899,109678,64260,787.48,236.73,2040,67324.21,42353.79,38.62,551.84
19,20230101,3,14,90,10,1,6.74,82.05,51,78,76,2,2.09,69.86,510,899,68324,39780,604.64,312.57,1020,41717.2,26606.8,38.94,548.91
20,20230101,3,16,29,9,2,7.26,80.35,45,147,144,3,1.84,70.58,240,449,64656,35280,562.09,413.09,720,36975.17,27680.83,42.81,256.77
21,20230101,4,19,49,14,1,7.31,94.46,38,136,134,2,1.81,85.01,1880,3399,455466,255680,431.61,322.24,3760,260193.86,195272.14,42.87,1941.75
22,20230101,4,19,169,13,3,6.53,87.18,58,103,99,4,3.83,71.39,1350,2499,247401,139050,755.77,304.18,5400,145509.95,101891.05,41.18,1469.8
23,20230101,4,17,99,13,1,7.82,97.15,10,76,75,1,1.64,93.83,1350,2499,187425,102600,140.27,294.54,1350,104384.81,83040.19,44.31,1391.8
24,20230101,4,18,41,14,1,7.49,97.15,15,56,55,1,2,92.23,1880,3399,186945,105280,124.92,414.33,1880,107699.24,79245.76,42.39,1958.17
25,20230101,4,20,68,14,3,7.89,84.68,49,75,73,2,3.04,73.89,1880,3399,248127,141000,688.99,233.39,3760,145682.38,102444.62,41.29,1995.65
26,20230101,5,23,155,18,2,7.85,85.65,20,139,137,2,1.66,80.83,4,15,2055,556,176.85,451.26,8,1192.11,862.89,41.99,8.7
27,20230101,5,21,67,16,2,7.38,78.83,50,112,109,3,2.44,68.06,620,1199,130691,69440,688.02,280.5,1860,72268.52,58422.48,44.7,663.01
28,20230101,5,21,19,17,1,7.79,83.13,20,127,125,2,1.33,78.32,48,99,12375,6096,245.04,374.83,96,6811.87,5563.13,44.95,54.49
29,20230101,5,22,47,17,2,7.59,92.27,41,121,118,3,2.23,81.88,48,99,11682,5808,603.57,339.24,144,6894.81,4787.19,40.98,58.43
30,20230101,5,24,64,16,2,6.64,88.84,27,118,116,2,2.09,81.42,620,1199,139084,73160,271.1,367.58,1240,75038.68,64045.32,46.05,646.89
31,20230101,6,25,171,20,3,7.48,83.1,8,81,79,2,2.79,79.6,26,59,4661,2106,89.06,438.6,52,2685.66,1975.34,42.38,34
32,20230101,6,25,50,19,2,6.79,86.96,13,67,66,1,1.93,82.93,18,39,2574,1206,179.81,150.38,18,1554.19,1019.81,39.62,23.55
33,20230101,6,28,50,19,2,7.81,79.88,56,76,74,2,2.26,68.48,18,39,2886,1368,468.41,172.97,36,2045.38,840.62,29.13,27.64
34,20230101,6,25,16,20,3,7.48,81.58,5,77,75,2,3.06,78.58,26,59,4425,2002,53.93,379.84,52,2487.77,1937.23,43.78,33.17
35,20230101,7,32,101,21,1,7.22,95.83,8,50,49,1,1.17,92.18,15,35,1715,750,70.31,362.46,15,1197.78,517.22,30.16,24.44
36,20230101,7,32,56,21,1,7.89,94.56,23,52,51,1,1.44,88.24,15,35,1785,780,222.79,320.91,15,1338.7,446.3,25,26.25
37,20230101,8,38,124,22,3,6.73,78.07,8,50,48,2,3.22,73.46,34,79,3792,1700,92.07,294.02,68,2154.08,1637.92,43.19,44.88
38,20230101,8,33,103,22,3,6.59,82.21,37,50,48,2,3.46,71.54,34,79,3792,1700,332.01,385.67,68,2485.68,1306.32,34.45,51.79
39,20230101,8,34,32,22,3,7.94,74.95,16,50,48,2,3.32,69.54,34,79,3792,1700,196.2,335.27,68,2299.47,1492.53,39.36,47.91
40,20230102,1,2,121,2,3,6.68,86.62,20,272,263,9,3.2,79.57,108,199,52337,29376,273.6,329.25,972,30950.85,21386.15,40.86,117.68
41,20230102,1,5,28,1,1,7.13,91.34,38,178,174,4,2.2,81.36,82,149,25926,14596,515.31,261.67,328,15700.97,10225.03,39.44,90.24
42,20230102,1,2,177,3,2,7.57,82.39,30,267,262,5,2.04,75.51,132,249,65238,35244,342.53,170.19,660,36416.72,28821.28,44.18,139
43,20230102,1,3,129,1,3,6.97,84.63,9,231,223,8,3.26,79.94,82,149,33227,18942,72.89,335.84,656,20006.73,13220.27,39.79,89.72
44,20230102,1,5,30,5,3,6.61,76.87,21,179,174,5,3.03,70.77,248,449,78126,44392,239.42,176.29,1240,46047.71,32078.29,41.06,264.64
45,20230102,1,1,84,2,2,7.05,81.14,58,280,273,7,2.43,68.26,108,199,54327,30240,619.75,333.69,756,31949.44,22377.56,41.19,117.03
46,20230102,1,5,198,3,2,7.48,78.84,57,200,196,4,2.12,67.45,132,249,48804,26400,490.92,377,528,27795.93,21008.07,43.05,141.82
47,20230102,2,9,40,6,1,7.83,93.88,14,194,191,3,1.53,89.67,215,399,76209,41710,189.67,347.56,645,42892.23,33316.77,43.72,224.57
48,20230102,2,8,122,7,3,6.81,82.93,21,204,197,7,3.28,75.97,188,349,68753,38352,247.89,386.55,1316,40302.43,28450.57,41.38,204.58
49,20230102,2,7,15,7,2,7.45,91.46,7,204,199,5,2.47,87.82,188,349,69451,38352,56.37,426.68,940,39775.05,29675.95,42.73,199.87
50,20230102,2,9,60,6,1,7.61,90.83,32,213,209,4,1.65,82.88,215,399,83391,45795,256.53,257.43,860,47168.96,36222.04,43.44,225.69
51,20230102,2,7,53,8,1,7.32,95.35,42,246,242,4,1.55,84.83,365,699,169158,89790,523.86,408.85,1460,92182.72,76975.28,45.5,380.92
52,20230102,2,8,5,8,2,6.96,92.53,55,212,208,4,2.04,78.83,365,699,145392,77380,479.43,300.55,1460,79619.98,65772.02,45.24,382.79
53,20230102,3,13,160,12,2,6.87,80.3,54,100,98,2,2.5,68.38,890,1499,146902,89000,512.01,207.7,1780,91499.71,55402.29,37.71,933.67
54,20230102,3,16,166,12,2,6.73,93,60,126,123,3,2.43,77.3,890,1499,184377,112140,513.36,351.04,2670,115674.4,68702.6,37.26,940.44
55,20230102,3,15,12,11,1,6.77,96.79,55,184,182,2,1.31,82.77,148,299,54418,27232,452.44,345.15,296,28325.59,26092.41,47.95,155.64
56,20230102,3,13,62,12,3,6.74,83.9,29,114,110,4,3.21,75.15,890,1499,164890,101460,337.31,141.3,3560,105498.61,59391.39,36.02,959.08
57,20230102,3,13,31,9,2,7.72,85.79,24,121,119,2,1.7,80,240,449,53431,29040,205.08,317.48,480,30042.57,23388.43,43.77,252.46
58,20230102,4,17,196,13,1,6.79,87.25,60,56,55,1,1.98,73.07,1350,2499,137445,75600,780.97,335.22,1350,78066.19,59378.81,43.2,1419.39
59,20230102,4,19,194,13,2,7.26,89.16,58,121,119,2,2.01,76.01,1350,2499,297381,163350,750.68,335.8,2700,167136.48,130244.52,43.8,1404.51
60,20230102,4,17,108,13,1,6.77,97.4,21,53,52,1,2.12,90.62,1350,2499,129948,71550,284,185.71,1350,73369.72,56578.28,43.54,1410.96
61,20230102,4,20,130,14,3,7.59,78.32,43,82,79,3,3.14,68.33,1880,3399,268521,154160,373.19,288.03,5640,160461.21,108059.79,40.24,2031.15
62,20230102,4,20,180,13,1,6.79,82.71,32,57,56,1,1.52,74.88,1350,2499,139944,76950,404.41,357.58,1350,79061.99,60882.01,43.5,1411.82
63,20230102,5,22,128,18,3,7.15,87.46,26,105,102,3,3.02,79.81,4,15,1530,420,343,422.83,12,1197.83,332.17,21.71,11.74
64,20230102,5,21,91,16,3,7.26,83.4,25,111,107,4,3.26,75.78,620,1199,128293,68820,285.57,281.62,2480,71867.18,56425.82,43.98,671.66
65,20230102,5,22,64,16,2,7.13,93.16,48,106,104,2,2.15,81.15,620,1199,124696,65720,658.79,394.71,1240,68013.51,56682.49,45.46,653.98
66,20230102,5,23,132,17,1,7.32,82.01,23,124,122,2,1.27,76.46,48,99,12078,5952,307.61,190.11,96,6545.73,5532.27,45.8,53.65
67,20230102,5,23,172,16,3,7.16,83.53,37,136,132,4,2.59,74.09,620,1199,158268,84320,346.82,287.62,2480,87434.44,70833.56,44.76,662.38
68,20230102,5,22,34,18,3,6.93,83.36,44,95,91,4,3.75,71.4,4,15,1365,380,634.21,290.89,16,1321.1,43.9,3.22,14.52
69,20230102,6,27,50,19,3,7.71,75.92,7,81,78,3,3.19,72,18,39,3042,1458,80.34,170.76,54,1763.1,1278.9,42.04,22.6
70,20230102,6,25,125,20,2,7.12,88.39,17,71,69,2,2.69,82.48,26,59,4071,1846,145.03,256.83,52,2299.86,1771.14,43.51,33.33
71,20230102,6,28,97,20,2,6.87,88.8,5,74,72,2,2.07,85.35,26,59,4248,1924,40.32,311.08,52,2327.4,1920.6,45.21,32.32
72,20230102,7,30,38,21,2,7.71,89.41,34,65,64,1,1.87,81.56,15,35,2240,975,456.35,370.32,15,1816.67,423.33,18.9,28.39
73,20230102,7,29,93,21,1,6.7,89.43,38,50,49,1,1.41,79.36,15,35,1715,750,474.98,234.01,15,1473.99,241.01,14.05,30.08
74,20230102,8,36,193,22,2,7.72,92.42,32,50,49,1,2.42,84.31,34,79,3871,1700,283.32,224.05,34,2241.38,1629.62,42.1,45.74
