InventoryID,DateKey,ProductKey,WarehouseKey,SupplierKey,OpeningStock,StockReceived,StockIssued,ClosingStock,ReorderLevel,SafetyStock,InventoryValue,InventoryStatus,DailyDemand,InventoryTurnover,DaysOfInventory,WarehouseUtilizationPct,CarryingCost,StockAgeDays,ExpiredInventory
1,20230101,1,1,1,1986,706,615,2077,5811,4305,170314,Critical,615,0.3,3.38,1.15,2554.71,33,0
2,20230101,2,1,1,1003,372,317,1058,2995,2219,114264,Critical,317,0.31,3.34,0.59,1713.96,74,0
3,20230101,3,1,2,521,219,163,577,1540,1141,76164,Critical,163,0.3,3.54,0.32,1142.46,16,0
4,20230101,4,1,2,713,234,213,734,2012,1491,129184,Critical,213,0.29,3.45,0.41,1937.76,76,3
5,20230101,5,2,3,1229,253,213,1269,2012,1491,314712,Critical,213,0.17,5.96,0.85,4720.68,33,0
6,20230101,6,2,3,2143,620,558,2205,5273,3906,474075,Critical,558,0.26,3.95,1.47,7111.12,5,0
7,20230101,7,2,4,541,194,154,581,1455,1078,109228,Critical,154,0.27,3.77,0.39,1638.42,24,0
8,20230101,8,2,4,2433,832,634,2631,5991,4438,960315,Critical,634,0.25,4.15,1.75,14404.73,16,0
9,20230101,9,3,5,861,220,217,864,2050,1519,207360,Critical,217,0.25,3.98,0.72,3110.4,82,4
10,20230101,10,3,5,838,388,321,905,3033,2247,461550,Critical,321,0.37,2.82,0.75,6923.25,53,0
11,20230101,13,4,7,438,180,163,455,1540,1141,614250,Critical,163,0.37,2.79,0.51,9213.75,84,2
12,20230101,14,4,8,1125,253,203,1175,1918,1421,2209000,Critical,203,0.18,5.79,1.31,33135.0,89,3
13,20230101,16,4,10,756,247,211,792,1993,1477,491040,Critical,211,0.27,3.75,0.88,7365.6,17,0
14,20230101,17,5,11,885,239,217,907,2050,1519,43536,Critical,217,0.24,4.18,1.3,653.04,51,0
15,20230101,18,5,12,361,136,110,387,1039,770,1548,Critical,110,0.29,3.52,0.55,23.22,39,0
16,20230101,19,5,13,645,152,125,672,1181,875,12096,Critical,125,0.19,5.38,0.96,181.44,82,5
17,20230101,20,6,14,403,158,126,435,1190,882,11310,Critical,126,0.3,3.45,0.87,169.65,64,0
18,20230101,21,6,15,398,98,95,401,897,665,6015,Critical,95,0.24,4.22,0.8,90.22,76,1
19,20230101,22,6,16,650,145,135,660,1275,945,22440,Critical,135,0.21,4.89,1.32,336.6,12,0
20,20230102,1,1,1,2077,391,309,2159,2920,2163,177038,Critical,309,0.15,6.99,1.2,2655.57,45,0
21,20230102,2,1,1,1058,543,421,1180,3978,2947,127440,Critical,421,0.38,2.8,0.66,1911.6,77,11
22,20230102,3,1,2,577,453,411,619,3883,2877,81708,Critical,411,0.69,1.51,0.34,1225.62,55,0
23,20230102,5,2,3,1269,190,157,1302,1483,1099,322896,Reorder,157,0.12,8.29,0.87,4843.44,23,0
24,20230102,6,2,3,2205,391,325,2271,3071,2275,488265,Critical,325,0.15,6.99,1.51,7323.97,76,17
25,20230102,7,2,4,581,392,353,620,3335,2471,116560,Critical,353,0.59,1.76,0.41,1748.4,79,3
26,20230102,8,2,4,2631,447,434,2644,4101,3038,965060,Critical,434,0.16,6.09,1.76,14475.9,22,0
27,20230102,9,3,5,864,121,92,893,869,644,214320,Healthy,92,0.1,9.71,0.74,3214.8,11,0
28,20230102,11,3,6,480,173,143,510,1351,1001,75480,Critical,143,0.29,3.57,0.43,1132.2,59,0
29,20230102,12,3,6,1290,316,280,1326,2646,1960,1180140,Critical,280,0.21,4.74,1.1,17702.1,64,0
30,20230102,13,4,7,455,288,270,473,2551,1890,638550,Critical,270,0.58,1.75,0.53,9578.25,6,0
31,20230102,14,4,8,1175,84,63,1196,595,441,2248480,Healthy,63,0.05,18.98,1.33,33727.2,73,0
32,20230102,16,4,10,792,367,319,840,3014,2233,520800,Critical,319,0.39,2.63,0.93,7812.0,48,0
33,20230102,17,5,11,907,116,103,920,973,721,44160,Reorder,103,0.11,8.93,1.31,662.4,63,0
34,20230102,18,5,12,387,184,178,393,1682,1246,1572,Critical,178,0.46,2.21,0.56,23.58,38,0
35,20230102,19,5,13,672,87,73,686,689,511,12348,Reorder,73,0.11,9.4,0.98,185.22,69,0
36,20230102,20,6,14,435,154,133,456,1256,931,11856,Critical,133,0.3,3.43,0.91,177.84,43,0
37,20230102,21,6,15,401,121,97,425,916,679,6375,Critical,97,0.23,4.38,0.85,95.62,30,0
38,20230102,22,6,16,660,141,135,666,1275,945,22644,Critical,135,0.2,4.93,1.33,339.66,74,0
39,20230103,1,1,1,2159,897,782,2274,7389,5474,186468,Critical,782,0.35,2.91,1.26,2797.02,5,0
40,20230103,2,1,1,1180,922,769,1333,7267,5383,143964,Critical,769,0.61,1.73,0.74,2159.46,19,0
41,20230103,3,1,2,619,325,282,662,2664,1974,87384,Critical,282,0.44,2.35,0.37,1310.76,44,0
42,20230103,4,1,2,734,207,173,768,1634,1211,135168,Critical,173,0.23,4.44,0.43,2027.52,77,1
43,20230103,5,2,3,1302,217,197,1322,1861,1379,327856,Critical,197,0.15,6.71,0.88,4917.84,13,0
44,20230103,6,2,3,2271,370,294,2347,2778,2058,504605,Reorder,294,0.13,7.98,1.56,7569.07,21,0
45,20230103,7,2,4,620,650,584,686,5518,4088,128968,Critical,584,0.89,1.17,0.46,1934.52,75,0
46,20230103,8,2,4,2644,807,729,2722,6889,5103,993530,Critical,729,0.27,3.73,1.81,14902.95,82,13
47,20230103,9,3,5,893,452,393,952,3713,2751,228480,Critical,393,0.43,2.42,0.79,3427.2,30,0
48,20230103,10,3,5,905,420,337,988,3184,2359,503880,Critical,337,0.36,2.93,0.82,7558.2,90,5
49,20230103,12,3,6,1326,173,149,1350,1408,1043,1201500,Reorder,149,0.11,9.06,1.12,18022.5,20,0
50,20230103,13,4,7,473,196,156,513,1474,1092,692550,Critical,156,0.32,3.29,0.57,10388.25,7,0
51,20230103,14,4,8,1196,186,146,1236,1379,1022,2323680,Reorder,146,0.12,8.47,1.37,34855.2,33,0
52,20230103,15,4,9,277,127,120,284,1134,840,695800,Critical,120,0.43,2.37,0.32,10437.0,34,0
53,20230103,16,4,10,840,460,374,926,3534,2618,574120,Critical,374,0.42,2.48,1.03,8611.8,47,0
54,20230103,18,5,12,393,105,90,408,850,630,1632,Critical,90,0.22,4.53,0.58,24.48,90,3
55,20230103,20,6,14,456,214,174,496,1644,1218,12896,Critical,174,0.37,2.85,0.99,193.44,78,4
56,20230103,21,6,15,425,201,183,443,1729,1281,6645,Critical,183,0.42,2.42,0.89,99.67,57,0
57,20230103,22,6,16,666,142,115,693,1086,805,23562,Critical,115,0.17,6.03,1.39,353.43,60,0
58,20230104,1,1,1,2274,800,682,2392,6444,4774,196144,Critical,682,0.29,3.51,1.33,2942.16,11,0
59,20230104,2,1,1,1333,196,180,1349,1701,1260,145692,Reorder,180,0.13,7.49,0.75,2185.38,17,0
60,20230104,3,1,2,662,153,147,668,1389,1029,88176,Critical,147,0.22,4.54,0.37,1322.64,18,0
61,20230104,4,1,2,768,266,219,815,2069,1533,143440,Critical,219,0.28,3.72,0.45,2151.6,62,0
62,20230104,5,2,3,1322,187,156,1353,1474,1092,335544,Reorder,156,0.12,8.67,0.9,5033.16,64,0
63,20230104,6,2,3,2347,967,942,2372,8901,6594,509980,Critical,942,0.4,2.52,1.58,7649.7,61,0
64,20230104,7,2,4,686,370,325,731,3071,2275,137428,Critical,325,0.46,2.25,0.49,2061.42,17,0
65,20230104,8,2,4,2722,363,372,2713,3515,2604,990245,Reorder,372,0.14,7.29,1.81,14853.67,6,0
66,20230104,9,3,5,952,425,370,1007,3496,2590,241680,Critical,370,0.38,2.72,0.84,3625.2,35,0
67,20230104,10,3,5,988,233,209,1012,1975,1463,516120,Critical,209,0.21,4.84,0.84,7741.8,32,0
68,20230104,12,3,6,1350,289,254,1385,2400,1778,1232650,Critical,254,0.19,5.45,1.15,18489.75,26,0
69,20230104,13,4,7,513,195,188,520,1776,1316,702000,Critical,188,0.36,2.77,0.58,10530.0,38,0
70,20230104,14,4,8,1236,134,114,1256,1077,798,2361280,Healthy,114,0.09,11.02,1.4,35419.2,41,0
71,20230104,15,4,9,284,64,61,287,576,427,703150,Critical,61,0.21,4.7,0.32,10547.25,76,2
72,20230104,16,4,10,926,423,319,1030,3014,2233,638600,Critical,319,0.33,3.23,1.14,9579.0,42,0
73,20230104,17,5,11,920,222,177,965,1672,1239,46320,Critical,177,0.19,5.45,1.38,694.8,74,0
74,20230104,18,5,12,408,106,93,421,878,651,1684,Critical,93,0.22,4.53,0.6,25.26,11,0
75,20230104,19,5,13,686,169,142,713,1341,994,12834,Critical,142,0.2,5.02,1.02,192.51,72,0
76,20230104,20,6,14,496,166,165,497,1559,1155,12922,Critical,165,0.33,3.01,0.99,193.83,15,0
77,20230104,21,6,15,443,232,168,507,1587,1176,7605,Critical,168,0.35,3.02,1.01,114.08,13,0
78,20230104,22,6,16,693,102,79,716,746,553,24344,Reorder,79,0.11,9.06,1.43,365.16,20,0
79,20230105,1,1,1,2392,1679,1355,2716,12804,9485,222712,Critical,1355,0.53,2.0,1.51,3340.68,79,19
80,20230105,3,1,2,668,770,637,801,6019,4459,105732,Critical,637,0.87,1.26,0.45,1585.98,89,8
81,20230105,4,1,2,815,520,429,906,4054,3003,159456,Critical,429,0.5,2.11,0.5,2391.84,90,5
82,20230105,6,2,3,2372,714,618,2468,5840,4326,530620,Critical,618,0.26,3.99,1.65,7959.3,90,20
83,20230105,7,2,4,731,430,361,800,3411,2527,150400,Critical,361,0.47,2.22,0.53,2256.0,14,0
84,20230105,8,2,4,2713,535,507,2741,4791,3549,1000465,Critical,507,0.19,5.41,1.83,15006.97,77,3
85,20230105,9,3,5,1007,218,185,1040,1748,1295,249600,Critical,185,0.18,5.62,0.87,3744.0,38,0
86,20230105,11,3,6,510,295,257,548,2428,1799,81104,Critical,257,0.49,2.13,0.46,1216.56,13,0
87,20230105,12,3,6,1385,342,266,1461,2513,1862,1300290,Critical,266,0.19,5.49,1.22,19504.35,25,0
88,20230105,14,4,8,1256,236,205,1287,1937,1435,2419560,Critical,205,0.16,6.28,1.43,36293.4,43,0
89,20230105,15,4,9,287,192,179,300,1691,1253,735000,Critical,179,0.61,1.68,0.33,11025.0,88,0
90,20230105,16,4,10,1030,257,216,1071,2041,1512,664020,Critical,216,0.21,4.96,1.19,9960.3,89,1
91,20230105,17,5,11,965,130,94,1001,888,658,48048,Healthy,94,0.1,10.65,1.43,720.72,19,0
92,20230105,18,5,12,421,381,322,480,3042,2254,1920,Critical,322,0.71,1.49,0.69,28.8,24,0
93,20230105,19,5,13,713,247,223,737,2107,1561,13266,Critical,223,0.31,3.3,1.05,198.99,48,0
94,20230105,20,6,14,497,135,124,508,1171,868,13208,Critical,124,0.25,4.1,1.02,198.12,38,0
95,20230105,21,6,15,507,160,128,539,1209,896,8085,Critical,128,0.24,4.21,1.08,121.27,11,0
96,20230105,22,6,16,716,93,83,726,784,581,24684,Reorder,83,0.12,8.75,1.45,370.26,40,0
97,20230106,1,1,1,2716,673,593,2796,5603,4151,229272,Critical,593,0.22,4.72,1.55,3439.08,21,0
98,20230106,2,1,1,1349,244,191,1402,1804,1337,151416,Reorder,191,0.14,7.34,0.78,2271.24,61,0
99,20230106,3,1,2,801,899,745,955,7040,5215,126060,Critical,745,0.85,1.28,0.53,1890.9,6,0
100,20230106,4,1,2,906,513,513,906,4847,3591,159456,Critical,513,0.57,1.77,0.5,2391.84,24,0
